"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_type"
"ENSG00000280916",455.428074082449,7.18626079269196,0.392682844647944,18.3004195131945,8.21141704290159e-75,3.28949366738638e-70,"FOXCUT","lncRNA"
"ENSG00000120262",1554.4888336365,-4.44303174190827,0.250667564003321,-17.7247972212688,2.69884577601948e-70,5.40578808936701e-66,"CCDC170","protein_coding"
"ENSG00000178935",3465.48697480218,-3.17460524059284,0.200519601699448,-15.8318948057315,1.87489021967054e-56,2.50360340666673e-52,"ZNF552","protein_coding"
"ENSG00000203688",529.611700134806,7.58055806125643,0.482822972749587,15.7004916689994,1.50074409087338e-55,1.50299520700969e-51,"LINC02487","lncRNA"
"ENSG00000173467",7548.80064444461,-7.0057124954871,0.450511076673322,-15.5505887828972,1.5764981568138e-54,1.26309032323922e-50,"AGR3","protein_coding"
"ENSG00000171428",12616.1064919899,-6.26615997003622,0.404478266264441,-15.4919571523764,3.93137937274234e-54,2.62485096120097e-50,"NAT1","protein_coding"
"ENSG00000115648",17407.1707294601,-4.46591446314008,0.291383906049505,-15.3265652989816,5.08155005890538e-53,2.90809850513928e-49,"MLPH","protein_coding"
"ENSG00000168350",4393.25295066421,-5.00574702659159,0.327212255408034,-15.2981648573933,7.86429992140148e-53,3.93804818564179e-49,"DEGS2","protein_coding"
"ENSG00000004838",816.336542877116,-4.68045929184917,0.311769797562472,-15.0125487729814,6.07670603817641e-51,2.7048093765483e-47,"ZMYND10","protein_coding"
"ENSG00000100219",104365.838988933,-3.07244056936722,0.205428698834392,-14.956238280242,1.41819007596097e-50,5.68126944429965e-47,"XBP1","protein_coding"
"ENSG00000150667",1100.13846547373,-5.66791324032905,0.381175319799085,-14.869570368083,5.19456164380936e-50,1.89176490410003e-46,"FSIP1","protein_coding"
"ENSG00000188001",2994.23343880243,-5.46305530845349,0.371210714165577,-14.716857838367,5.02470764096539e-49,1.67741490080895e-45,"TPRG1","protein_coding"
"ENSG00000232400",55.6522870506497,-7.43932914828394,0.507911799533201,-14.6468917538854,1.41020873044614e-48,4.34561244166709e-45,"RAD17P1","processed_pseudogene"
