"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_type"
"ENSG00000280916",455.428074082449,7.7064609247327,0.397753418408045,19.3749709445032,1.25532355538777e-83,4.91346192814328e-79,"FOXCUT","lncRNA"
"ENSG00000054598",2853.72704157459,4.86093031759948,0.261777127378949,18.5689650057271,5.72967627148649e-77,1.12132629471126e-72,"FOXC1","protein_coding"
"ENSG00000120262",1554.4888336365,-4.15581024573228,0.250685404611025,-16.5777910053464,1.00868945682265e-61,1.31603713431651e-57,"CCDC170","protein_coding"
"ENSG00000150667",1100.13846547373,-6.26058912224471,0.38115584067464,-16.425274006463,1.26112859472177e-60,1.23404585815012e-56,"FSIP1","protein_coding"
"ENSG00000203688",529.611700134806,7.92140223671213,0.485976003416798,16.2999863800236,9.87141240455006e-60,7.72753905852988e-56,"LINC02487","lncRNA"
"ENSG00000171428",12616.1064919899,-6.49243146219961,0.404477971461425,-16.0513845506635,5.59029250626658e-58,3.646827316463e-54,"NAT1","protein_coding"
"ENSG00000173467",7548.80064444461,-7.09678141212843,0.450511293490578,-15.7527269896883,6.57823534449132e-56,3.67826728026764e-52,"AGR3","protein_coding"
"ENSG00000154548",136.007375638417,4.47272938915164,0.284395514912697,15.7271446088897,9.85564127381652e-56,4.82199568873066e-52,"SRSF12","protein_coding"
"ENSG00000094755",20324.0992715514,7.30663718800819,0.470534942188377,15.5283625781887,2.23001496504961e-54,9.69833508300074e-51,"GABRP","protein_coding"
"ENSG00000115648",17407.1707294601,-4.3997737065736,0.291384545055503,-15.0995438201279,1.63057565624475e-51,6.38223617610756e-48,"MLPH","protein_coding"
"ENSG00000254290",96.8507696525268,-5.74373450388576,0.380757443942249,-15.0850222241668,2.0320620589312e-51,7.23063100442054e-48,"AC124067.4","lncRNA"
"ENSG00000223813",86.7962781599026,-4.50124568646255,0.299554804807318,-15.0264513011497,4.92702892947155e-51,1.60707366107038e-47,"AC007255.1","lncRNA"
"ENSG00000100146",2956.52493002344,7.30176740384545,0.489834294273859,14.9066071714512,2.98541659275886e-50,8.9886300659365e-47,"SOX10","protein_coding"
"ENSG00000106541",43629.8261279199,-6.50706839581317,0.43831653729141,-14.8455918091154,7.42962374531528e-50,2.07716359296704e-46,"AGR2","protein_coding"
"ENSG00000167614",1277.48161601878,5.95213363030758,0.405657163113618,14.672817767156,9.6262988479951e-49,2.51188642139584e-45,"TTYH1","protein_coding"
"ENSG00000182175",1580.16891329753,4.022606514238,0.27438349732266,14.6605264292102,1.15374961775387e-48,2.82243211178151e-45,"RGMA","protein_coding"
"ENSG00000228639",294.078270804334,7.73611512797213,0.528435661832724,14.6396537681459,1.56864989465161e-48,3.61167797215051e-45,"ROCR","lncRNA"
"ENSG00000065371",486.723309651316,8.31182438142951,0.569777365566807,14.5878458565321,3.3562889066142e-48,7.29825022743258e-45,"ROPN1","protein_coding"
"ENSG00000148468",2360.03191769538,3.42177348163061,0.235061605445749,14.5569221104479,5.2781260598189e-48,1.08732174793354e-44,"FAM171A1","protein_coding"
"ENSG00000100867",11104.4959935427,-9.11795807051551,0.626521923630419,-14.5532945083245,5.56567458510194e-48,1.08923034467737e-44,"DHRS2","protein_coding"
"ENSG00000170549",997.633840355729,6.05582591472386,0.418879770053657,14.4571935616469,2.25819209383875e-47,4.20894746404488e-44,"IRX1","protein_coding"
"ENSG00000160180",12847.169102044,-6.91532248653062,0.478899883556527,-14.4400170557034,2.89770418906306e-47,5.15541089382352e-44,"TFF3","protein_coding"
"ENSG00000104332",13234.1140217602,5.84195466497889,0.407641275377674,14.3311166406454,1.39853683053034e-46,2.38000565581688e-43,"SFRP1","protein_coding"
"ENSG00000198729",1123.26275456211,5.99689037317466,0.419276161457921,14.302960493442,2.09695668594793e-46,3.41987423519533e-43,"PPP1R14C","protein_coding"
"ENSG00000235123",1452.14008541345,-13.2450924995619,0.930066357269632,-14.2410188219743,5.0978377495361e-46,7.9813786941837e-43,"DSCAM-AS1","lncRNA"
"ENSG00000178935",3465.48697480218,-2.83992921876357,0.200531208754074,-14.1620311192877,1.57378778122368e-45,2.36921644403369e-42,"ZNF552","protein_coding"
"ENSG00000104044",111.560254664787,6.82969695594266,0.485437433842527,14.0691600601988,5.87631889761916e-45,8.51870362858191e-42,"OCA2","protein_coding"
"ENSG00000005513",641.774083554567,6.13683203136849,0.437511019264791,14.0266913543824,1.07029670215634e-44,1.4961601149679e-41,"SOX8","protein_coding"
"ENSG00000109846",6077.7315860344,4.65037084289313,0.332657971291965,13.9794360701239,2.08130630119824e-44,2.80911758397243e-41,"CRYAB","protein_coding"
"ENSG00000181617",10112.1098507295,9.37961070200492,0.674202137391401,13.9121639962403,5.34378429377663e-44,6.97203536809037e-41,"FDCSP","protein_coding"
"ENSG00000102243",1285.70245007057,7.26018875201879,0.522016223751218,13.9079753112785,5.66607740047572e-44,7.15406243651678e-41,"VGLL1","protein_coding"
"ENSG00000231367",425.778884748566,5.48174780362845,0.394900294216234,13.8813464662217,8.21854311313638e-44,1.00525623747272e-40,"LINC02613","lncRNA"
"ENSG00000144681",363.182126371272,4.25942870337802,0.307335621354996,13.8592093054454,1.11900094421112e-43,1.32723684719296e-40,"STAC","protein_coding"
"ENSG00000100219",104365.838988933,-2.84199665503655,0.20542899586362,-13.8344474843429,1.57945372367809e-43,1.81827641760248e-40,"XBP1","protein_coding"
"ENSG00000168350",4393.25295066421,-4.51381322124031,0.327219623199498,-13.7944453853501,2.75261670660147e-43,3.07829058608823e-40,"DEGS2","protein_coding"
"ENSG00000184599",147.087749305015,5.28080111527429,0.383049702394585,13.7862034150191,3.08577539829378e-43,3.35500930179491e-40,"TAFA3","protein_coding"
"ENSG00000164106",194.626044613633,5.74553405939712,0.421465100783195,13.632289004998,2.57378909315882e-42,2.72272105122512e-39,"SCRG1","protein_coding"
"ENSG00000171604",6423.74564999693,-2.44592851453868,0.180853859869678,-13.5243368115074,1.12352281872447e-41,1.15725806967617e-38,"CXXC5","protein_coding"
"ENSG00000232400",55.6522870506497,-6.8607214514093,0.508332987802122,-13.4965103899178,1.63960198387206e-41,1.6455297756599e-38,"RAD17P1","processed_pseudogene"
"ENSG00000248429",520.322025544141,-3.88808089130566,0.289006519838286,-13.4532635923966,2.94578181098453e-41,2.88252114659363e-38,"FAM198B-AS1","lncRNA"
"ENSG00000057593",526.93613431023,-5.87218960243338,0.437900501627881,-13.4098718329933,5.29302189615969e-41,4.95555253051817e-38,"F7","protein_coding"
"ENSG00000286010",46.8845608274001,4.37949105837801,0.326595435110793,13.4095293061654,5.31752398461365e-41,4.95555253051817e-38,"AC108925.1","lncRNA"
"ENSG00000183779",12505.9643192564,-3.83557247441486,0.288168515510177,-13.3101718889183,2.02016439432737e-40,1.83886638507832e-37,"ZNF703","protein_coding"
"ENSG00000129514",17099.8457286982,-4.71563732237863,0.356977674747091,-13.2098942201905,7.69324641466789e-40,6.84366722537536e-37,"FOXA1","protein_coding"
"ENSG00000139865",858.080619027021,-4.99324980824932,0.381189268647382,-13.0991353087338,3.33030125420306e-39,2.89669603090582e-36,"TTC6","protein_coding"
"ENSG00000140511",2514.64513669049,3.40334628586901,0.260039792988223,13.0877903214726,3.86694415883647e-39,3.29034915915257e-36,"HAPLN3","protein_coding"
"ENSG00000206113",87.4344110655709,-3.9713212507243,0.303713585457606,-13.0758762231222,4.52321584589398e-39,3.76687641327949e-36,"CFAP99","protein_coding"
"ENSG00000257271",44.7896042229292,7.60440759326591,0.582043046521394,13.0650260985231,5.21667338174774e-39,4.25387110072892e-36,"KIRREL3-AS1","lncRNA"
"ENSG00000163661",748.9982525068,6.45859964210659,0.494557181852692,13.0593587134083,5.61991941279112e-39,4.48916868849096e-36,"PTX3","protein_coding"
"ENSG00000186081",28977.4440180986,6.59548425000397,0.506423183377151,13.0236617644972,8.97609874996586e-39,7.02666962344827e-36,"KRT5","protein_coding"
"ENSG00000091831",30570.8459132644,-4.9923514744498,0.38380259219359,-13.007602283029,1.10763184699963e-38,8.5007486516495e-36,"ESR1","protein_coding"
"ENSG00000114547",593.988408557603,5.86020978150368,0.450751939868457,13.0009640850661,1.208106028669e-38,9.09355347464103e-36,"ROPN1B","protein_coding"
"ENSG00000178568",2954.30872825852,-5.12162261757672,0.39528204387685,-12.9568815404434,2.14803851719817e-38,1.58634670946516e-35,"ERBB4","protein_coding"
"ENSG00000103546",48.9366693835373,6.42716867468701,0.497020500349712,12.9313955262705,2.99335759734302e-38,2.16103991865135e-35,"SLC6A2","protein_coding"
"ENSG00000253831",46.1352766872471,6.71850132357937,0.519593944933257,12.9302917963033,3.03664177015978e-38,2.16103991865135e-35,"ETV3L","protein_coding"
"ENSG00000264230",251.960440142763,6.24391814498572,0.483022498070801,12.9267646329602,3.17917873511285e-38,2.22207562269736e-35,"ANXA8L1","protein_coding"
"ENSG00000167754",2147.67238324967,6.90184851519761,0.535054856929001,12.8993287806253,4.54034616625086e-38,3.11778402268816e-35,"KLK5","protein_coding"
"ENSG00000130287",1003.60858127326,9.94152609722908,0.77100277347815,12.8942805904327,4.84765769343991e-38,3.2714167203264e-35,"NCAN","protein_coding"
"ENSG00000135912",3035.68581683349,2.12479559060867,0.165003214993776,12.8772981222749,6.04136905963929e-38,4.00788519259901e-35,"TTLL4","protein_coding"
