"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","gene_type"
"ENSG00000071909",644.372420868027,-4.85284905899393,0.564704400670582,-8.59360942332166,8.42791575476988e-18,1.86672075886737e-13,"MYO3B","protein_coding"
"ENSG00000262902",704.987282981069,5.11737284970029,0.597474855653623,8.56500119005343,1.08074729128231e-17,1.86672075886737e-13,"MTCO1P40","processed_pseudogene"
"ENSG00000076382",2719.26457913391,1.68490873807207,0.20053937716067,8.40188476661187,4.39368883143441e-17,4.03486251928678e-13,"SPAG5","protein_coding"
"ENSG00000225972",1130.76446596971,5.77673318570656,0.688142895863742,8.39467096213458,4.67200754874718e-17,4.03486251928678e-13,"MTND1P23","unprocessed_pseudogene"
"ENSG00000068489",2115.6312136837,1.80326211490244,0.216913385810424,8.31328185748036,9.30910615000668e-17,6.43166143903962e-13,"PRR11","protein_coding"
"ENSG00000152779",36.4804828716544,-3.43415662188912,0.428914546322284,-8.00662195147076,1.17902225652362e-15,6.78822064193477e-12,"SLC16A12","protein_coding"
"ENSG00000196550",128.976375668177,1.8932966498209,0.238134668990296,7.95052924401383,1.85716392692103e-15,9.1651039793553e-12,"FAM72A","protein_coding"
"ENSG00000129810",431.212253721783,1.73750050883593,0.220778797420502,7.86987033689941,3.55009000433602e-15,1.53297323999735e-11,"SGO1","protein_coding"
"ENSG00000106018",224.878524189511,-3.92800177533628,0.502900024305555,-7.81070110457915,5.6870737353877e-15,2.18288846876631e-11,"VIPR2","protein_coding"
"ENSG00000186081",28977.4440180986,-3.94771157927233,0.506427844183068,-7.79521036336477,6.4301265637551e-15,2.2212872214492e-11,"KRT5","protein_coding"
"ENSG00000238269",23.059071749041,5.72497551118089,0.748776061992241,7.64577795923211,2.07685786530253e-14,6.52227772335235e-11,"PAGE2B","protein_coding"
"ENSG00000077152",1983.48439796542,1.42075835616127,0.186998692167598,7.59769140464313,3.01460150123459e-14,8.67828407167908e-11,"UBE2T","protein_coding"
"ENSG00000163661",748.9982525068,-3.74471977830896,0.494756430773434,-7.56881476498442,3.76644757919361e-14,1.00086101248649e-10,"PTX3","protein_coding"
"ENSG00000282933",308.094095895787,4.52872877574239,0.606869790902418,7.46243896735766,8.49353618521635e-14,2.09578005370214e-10,"RHOXF1P3","transcribed_unprocessed_pseudogene"
"ENSG00000088325",7780.24454447625,1.57855234101254,0.212885664337256,7.41502414418932,1.21602651573636e-13,2.62547724913203e-10,"TPX2","protein_coding"
"ENSG00000142224",38.3676274805381,3.18511810511846,0.429527846863375,7.41539373611691,1.21264001360152e-13,2.62547724913203e-10,"IL19","protein_coding"
"ENSG00000146410",390.675418209293,1.51126338160968,0.204238561365754,7.39950071868787,1.36697483179199e-13,2.77777326848554e-10,"MTFR2","protein_coding"
"ENSG00000104332",13234.1140217602,-3.00433405115547,0.407656278806032,-7.36977254454352,1.70919400524734e-13,3.28022816173719e-10,"SFRP1","protein_coding"
"ENSG00000087586",2119.27132182847,1.43524583648603,0.19529048118101,7.34928721464789,1.99266596856564e-13,3.62298136232106e-10,"AURKA","protein_coding"
"ENSG00000123485",1459.20357809032,1.43595208134249,0.195844266251086,7.33211193174019,2.2655374702062e-13,3.91314959541366e-10,"HJURP","protein_coding"
"ENSG00000115844",166.020735434885,-4.15497404417319,0.568643474794987,-7.30681741432306,2.73543850850463e-13,4.49979634649011e-10,"DLX2","protein_coding"
"ENSG00000118193",1150.50209939963,1.57470024531653,0.216389994613893,7.27713981474181,3.40971832299621e-13,5.35403270308656e-10,"KIF14","protein_coding"
"ENSG00000075218",1072.7701337708,1.41140634987235,0.194770059686764,7.24652624814219,4.27596344666573e-13,6.42231118543773e-10,"GTSE1","protein_coding"
"ENSG00000131747",13648.2546354124,1.64457316544581,0.228835423117991,7.18670712356383,6.63725720710915e-13,9.55350209248274e-10,"TOP2A","protein_coding"
"ENSG00000251129",78.2982473080617,6.5558037961848,0.916964318515733,7.14946444895098,8.71171060181072e-13,1.20378417095821e-09,"LINC02506","lncRNA"
"ENSG00000138180",2213.96659882933,1.38444450458253,0.195775146225082,7.07160500848681,1.53151842330327e-12,2.03485784357736e-09,"CEP55","protein_coding"
"ENSG00000167656",611.096822567017,-4.91518133281679,0.696292905182252,-7.05907139974414,1.67618935179539e-12,2.14459115399154e-09,"LY6D","protein_coding"
"ENSG00000188610",127.922808395435,1.76922882222932,0.252362992211184,7.01065083563751,2.37212051509623e-12,2.92660368549997e-09,"FAM72B","protein_coding"
"ENSG00000229344",119.598268239794,2.56556192836054,0.366347573045135,7.00308154639928,2.50392990194031e-12,2.98269856767338e-09,"MTCO2P12","unprocessed_pseudogene"
"ENSG00000165480",949.903759881498,1.41127352938973,0.201775593973036,6.99427270464794,2.66638474873005e-12,3.07034203816265e-09,"SKA3","protein_coding"
"ENSG00000136982",942.217162785706,1.34996350929027,0.194545012669821,6.93908052827551,3.94660130391138e-12,3.89529548696053e-09,"DSCC1","protein_coding"
"ENSG00000148942",100.405219167742,4.98454603433384,0.717528527387663,6.94682628505559,3.73595257740517e-12,3.89529548696053e-09,"SLC5A12","protein_coding"
"ENSG00000165304",1853.8520780636,1.48422675951394,0.213814996894327,6.94164011445594,3.87573553271177e-12,3.89529548696053e-09,"MELK","protein_coding"
"ENSG00000175063",4036.58208066931,1.78999692008386,0.257646800570988,6.94748359427298,3.71859291928367e-12,3.89529548696053e-09,"UBE2C","protein_coding"
