"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","105/4162","160/9522",0.65625,1.50139656415185,5.63594767250214,1.48873495111255e-08,5.19568497938281e-06,3.30655868089209e-06,"920/923/9369/1462/1001/4756/5817/3385/8516/5788/6614/2734/4897/3655/958/83692/959/4099/24146/64115/3384/8506/9379/5818/10686/942/965/914/29126/941/6385/64101/5819/9071/3695/3680/57689/4684/90952/10666/925/5789/1525/4685/58494/9073/50848/4359/23562/3689/120425/22854/7412/9076/23114/1493/29851/149461/26050/83700/214/1000/926/257194/5797/947/26047/940/1002/3119/139065/1003/201633/7122/84189/9074/84631/5133/6402/1364/3123/54413/3117/6693/80380/100506658/3897/3111/3108/3122/3107/3133/3135/3134/3105/9080/644672/100288814/3106/3112/3109/137075/927/5175/102723996",105
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","138/4162","224/9522",0.616071428571429,1.40947432553031,5.4646938974663,3.84271035145541e-08,6.70552956328968e-06,4.26743096924785e-06,"8379/292/1387/1870/920/9519/5601/6416/6688/6929/1739/4791/108/7419/7514/581/4214/5902/706/3560/4776/958/1869/331/5595/55697/3551/5971/898/3718/5599/5532/595/25906/4055/1871/896/6908/6722/8850/7850/6513/991/7043/4488/1958/113/5290/1031/1017/1026/2002/7538/468/196883/8881/5901/8900/3559/3601/2113/1019/9700/3569/4609/4316/109/5925/7157/207/5567/148327/890/9586/3561/1030/1029/1111/291/64682/701/9133/90993/115650/3689/917/200186/2224/115/3716/4085/3600/7015/1437/9232/107/7417/4088/915/5604/2353/598/5293/5728/111/6777/112/3265/545/4087/8061/29882/3725/811/3119/64764/3932/11200/3123/8295/3117/916/3111/3108/3122/3107/3133/3135/3134/3105/4893/1388/5534/4049/7124/3106/3112/3109",138
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","70/4162","100/9522",0.7,1.60148966842864,5.32802860426273,8.41281165382394e-08,9.78690422394852e-06,6.2284324875679e-06,"6376/10344/53832/7133/3560/6361/6369/6387/6354/6355/6346/5197/3587/4055/6364/8809/8807/729230/8743/7852/6372/27178/8740/1236/6370/3572/3559/3569/3586/6366/4283/58985/6375/6846/57007/9547/3561/3606/10563/146433/643/1234/50604/11009/3577/2921/6374/5473/2919/1230/1524/3627/6373/6363/8793/8794/2829/10803/53833/1237/6357/1232/1233/2833/4049/7124/6352/6368/6351/6362",70
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","99/4162","158/9522",0.626582278481013,1.43352149343974,4.84192882053105,1.05192431081088e-06,9.17803961182492e-05,5.84094814687093e-05,"8379/1387/10926/1870/1663/8454/5525/9319/8243/4171/4175/27127/5933/10403/23047/4998/23594/8318/990/8317/4616/4174/994/1869/5934/5516/4173/898/1021/595/25906/26271/4172/1871/896/5528/7272/6500/5515/10459/991/7043/1031/1017/1026/9088/1032/151648/8881/10912/5111/8900/1875/891/10971/902/23595/1019/9700/4609/5519/57082/5925/90381/7157/890/6502/113130/85417/1030/1029/1111/64682/701/9133/995/993/4085/9232/5885/5001/7534/4176/5347/4088/81620/699/7532/983/27085/545/4087/29882/9212/11200/3066/7027/1874/5591",99
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","53/4162","75/9522",0.706666666666667,1.6167419509851,4.72494861672786,1.97187349915804e-06,0.000137636770241231,8.75926964889152e-05,"637/355/84883/50484/51512/7161/27244/3732/581/4616/7249/898/27113/1021/5054/595/64065/896/900/55240/9540/92344/63970/1017/1026/10912/842/891/1643/1019/7057/901/7157/5366/64326/3486/1029/143686/9538/1111/9133/25946/51246/836/983/598/596/5728/54205/545/56475/11200/5268",53
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","30/4162","38/9522",0.789473684210526,1.80619135537065,4.38777236261826,9.70845682588261e-06,0.000564708572038838,0.000359383226361619,"920/695/7374/5788/958/959/973/3718/57379/7535/3543/5993/3561/64421/925/115650/29851/915/6890/3575/926/930/4261/3932/100/916/6891/23495/927/84876",30
"Human Diseases","Immune disease","hsa05330","Allograft rejection","30/4162","39/9522",0.769230769230769,1.75987875651499,4.18999647179785,2.44583944622798e-05,0.00121942566676224,0.000776048305494894,"355/3002/958/959/3458/3593/3565/3567/942/356/941/3586/3592/940/3119/5551/3123/3117/3111/3108/3122/3107/3133/3135/3134/3105/7124/3106/3112/3109",30
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","112/4162","193/9522",0.580310880829015,1.32765982874913,4.05223136338362,3.74669661710861e-05,0.00163449639921363,0.00104020129764463,"6376/10344/7454/2773/387/10235/998/108/157/5332/5595/6361/3551/4793/3718/6369/6387/6354/6355/6346/5197/3702/59345/6364/6772/6654/113/729230/5290/7852/57580/5335/6372/2868/1236/51764/2791/2770/5880/196883/25759/6370/10451/9475/6366/408/5330/109/4283/409/207/5567/6375/6846/9547/53358/56288/5331/2776/10563/653361/643/1234/58191/115/2785/3577/2921/6374/5473/2919/1230/5580/107/5579/2793/94235/2786/1524/5604/3627/6373/5747/5881/5293/10663/55970/6363/156/111/2829/10803/6777/112/3265/2885/1237/6357/1232/1233/399694/6011/2833/6714/5336/2870/4893/4067/6352/6368/6351/6362",112
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","50/4162","75/9522",0.666666666666667,1.52522825564632,4.02384906040294,4.81339234547766e-05,0.00186652658730189,0.00118786641508279,"637/1244/355/578/119391/4292/2950/4258/581/332/4436/2953/331/5595/27113/329/4437/2956/356/5290/540/1026/7153/842/2944/2949/2947/1317/7507/5170/7157/5366/2064/207/4259/1029/836/538/2948/5429/2941/598/5293/596/54205/2940/221357/2946/2938/2939",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","163/4162","298/9522",0.546979865771812,1.2514037198172,3.88534966775246,6.99625900329777e-05,0.00244169439215092,0.00155390594704824,"6376/10344/9235/920/53832/355/3459/7133/608/3604/84957/55540/3595/7066/3568/3594/1439/3560/958/959/10673/6361/50615/3574/9466/10148/6369/6387/6354/6355/6346/5197/3587/51561/4055/55801/3458/2690/3593/5618/3565/3567/6364/7850/8808/9173/8809/8807/3953/4352/356/1441/7043/943/729230/8743/7852/27189/6372/652/27178/8744/970/8740/650/8200/1236/3976/2056/9518/60401/6370/3597/4803/3572/3559/3601/269/91/10913/3569/3586/56300/26525/6366/59067/658/4283/939/8792/58985/6375/6846/57007/9547/27242/3561/3606/10563/392255/4838/146433/3455/115650/643/1234/58191/8741/149233/50604/11009/3577/132014/2921/6374/5473/2919/1230/3600/1437/2661/1524/3575/3592/3627/6373/3456/10663/6363/8793/8794/2829/10803/53833/3952/1237/6357/9966/768211/282618/1232/353500/282616/1233/9573/338376/163702/2833/7293/2057/282617/246778/1438/1443/8718/4049/4050/7124/23495/6352/6368/6351/6362",163
