"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","178/3852","298/9522",0.597315436241611,1.47654142884024,6.88877563093359,7.4094402960797e-12,1.43087180711348e-09,1.01419054342231e-09,"6376/51330/10344/9235/920/53832/355/3459/7133/608/3604/84957/4804/2920/3595/7066/7042/3594/1439/3560/958/959/10673/6361/50615/3574/9466/10148/6369/1440/6354/6347/6355/6346/5197/3558/3587/51561/4055/55801/3458/1235/2690/3593/5618/3552/6364/7850/8808/8809/8807/3953/656/4352/356/7292/1441/7043/8995/8795/943/729230/7852/3623/6372/652/3553/8744/8740/650/8200/1236/27190/3976/2056/9518/60401/6370/3597/4803/3572/3559/3601/269/91/10913/3569/3586/56300/3557/26525/90865/6366/59067/658/4283/939/8792/29949/58985/6846/151449/57007/9180/85480/9547/27242/3561/3606/654/10563/4838/146433/3455/3460/115650/643/3570/1234/58191/8741/149233/50604/7048/2921/6374/5473/5196/2919/1230/3600/1437/2661/133396/4982/3575/3592/3596/3627/6373/3576/3456/5617/10663/3603/6363/8793/8794/2829/10803/53833/3626/23765/6357/9966/768211/1436/1232/353500/1233/1435/338376/163702/2833/2057/3556/1438/64109/4049/4050/7124/23495/2662/6352/6368/6351/6362/6358",178
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","74/3852","100/9522",0.74,1.8292523364486,6.87081169555177,8.19983843618041e-12,1.43087180711348e-09,1.01419054342231e-09,"6376/10344/53832/7133/2920/3560/6361/6369/6354/6347/6355/6346/5197/3558/3587/4055/1235/6364/8809/8807/8795/729230/7852/6372/8740/1236/6370/3572/3559/3569/3586/6366/4283/29949/58985/6846/57007/9547/3561/3606/10563/146433/643/3570/1234/50604/2921/6374/5473/5196/2919/1230/3627/6373/3576/6363/8793/8794/2829/10803/53833/6357/1436/1232/1233/1435/2833/4049/7124/6352/6368/6351/6362/6358",74
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","39/3852","44/9522",0.886363636363636,2.1910577740017,6.52670083722557,3.77996816630977e-11,4.39736296680703e-09,3.11681585643086e-09,"3382/355/5798/3002/3558/1363/3458/3593/942/3552/356/941/3553/2571/3329/5799/3592/940/3119/5551/3123/3117/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/4049/3113/3120/7124/3106/3112/3109",39
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","103/3852","160/9522",0.64375,1.59132593457944,6.21720935973488,6.46760454615321e-10,5.64298496651868e-08,3.99970281143685e-08,"6401/920/923/9369/1462/999/1001/5817/3385/5788/3383/2734/4897/3655/958/959/4099/3696/24146/64115/3384/5818/6404/10686/942/3676/965/914/29126/941/6385/64101/5819/94030/79679/9071/3695/5792/3680/57689/4684/10666/925/1525/4685/9073/50848/4359/23562/23308/3689/120425/9672/7412/57863/9076/1493/29851/149461/9075/6383/22871/214/1000/926/257194/6403/26047/25945/940/1002/3119/201633/84189/9074/84631/5133/6402/3123/3117/6693/80380/3127/3897/3111/3108/3122/3107/3133/3135/3134/3105/3115/644672/3113/3120/100288814/3106/3112/3109/137075/927/102723996",103
"Human Diseases","Immune disease","hsa05330","Allograft rejection","33/3852","39/9522",0.846153846153846,2.09166067577283,5.63040955953259,1.65537251523848e-08,1.15545001563646e-06,8.18973770696931e-07,"355/3002/958/959/3558/3458/3593/942/356/941/3586/3592/940/3119/5551/3123/3117/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/3113/3120/7124/3106/3112/3109",33
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","67/3852","100/9522",0.67,1.65621495327103,5.43710180551299,6.42808877420488e-08,3.28323663988935e-06,2.3271319872538e-06,"952/3675/3674/920/4254/966/7066/3655/3574/951/2208/945/1440/921/3552/3676/7850/914/1380/1441/3553/2056/3559/3569/2209/925/931/3815/912/909/911/910/913/917/3570/1437/915/3575/929/926/924/930/3119/1436/1435/2811/2057/3123/4311/3117/1379/1438/3127/916/1378/3111/3108/3122/3115/3113/3120/7124/3112/3109/927/3690/100133941",67
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","36/3852","45/9522",0.8,1.97757009345794,5.41765837280506,6.58528838946287e-08,3.28323663988935e-06,2.3271319872538e-06,"355/3002/3558/3458/942/3552/356/941/3553/3824/3821/3569/3811/940/3119/5551/3123/3117/3127/3111/3108/3122/3107/3133/3135/3134/3105/3115/3113/3120/7124/3106/3812/3112/3109/3804",36
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","38/3852","50/9522",0.76,1.87869158878505,5.13444515290159,3.28303631415366e-07,1.43222459204953e-05,1.0151493866133e-05,"9020/608/958/959/10673/3558/4055/57379/942/3676/941/7852/6370/3601/3569/3586/3695/115650/23308/8741/29851/3600/10803/940/3119/3123/3117/3127/3111/3108/3122/3115/3113/3120/23495/3112/3109/102723996",38
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","66/3852","103/9522",0.640776699029126,1.58397604573088,4.91138680710486,9.8124907069099e-07,3.80506584079062e-05,2.69700036973547e-05,"7414/10319/6317/3918/2769/87/7879/2920/1286/384/22798/7042/5332/284217/3315/5878/1277/3458/5869/3593/7850/5052/7043/5290/5269/3553/81/1284/3915/3569/3586/7097/5330/5567/5578/9630/2776/912/909/911/910/913/3689/2921/2919/1437/1278/107/5579/1281/3592/1285/3576/929/5272/5293/3913/733/1287/3914/1288/5275/6318/7124/5273/338382",66
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","30/3852","38/9522",0.789473684210526,1.9515494343335,4.84418001284118,1.43915701525512e-06,5.02265798324036e-05,3.56001998510476e-05,"920/695/5788/958/959/973/3718/57379/7535/3543/5993/3561/64421/925/115650/326/29851/915/6890/3575/926/930/4261/3932/100/916/6891/23495/927/84876",30
