"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","59/1238","158/9522",0.373417721518987,2.87211917956688,9.17303167915151,5.1698197265695e-15,1.77324816621334e-12,1.52373634046259e-12,"10926/1870/9319/4171/4175/27127/5933/10403/8555/2932/4998/23594/7042/8318/990/8317/994/1869/4173/898/26271/4172/7272/991/9088/1032/151648/10912/5111/891/9700/57082/90381/51529/890/6502/113130/1111/9184/701/9133/995/80174/993/4085/9232/5885/7534/4176/5347/81620/699/983/157570/27085/9134/9212/11200/51434",59
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","17/1238","36/9522",0.472222222222222,3.63206785137318,6.11629368500293,5.84815635822553e-07,0.000100295881543568,8.61833568580605e-05,"23649/4171/4175/5427/4173/10535/5985/4172/5111/5983/1763/5558/5984/4176/2237/5426/5557",17
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","65/1238","278/9522",0.233812949640288,1.79835775967271,5.22241692426928,1.10363361850653e-06,0.00012618211038258,0.00010842716251994,"729/4710/113457/7419/2932/5705/5684/5693/5687/5688/10382/858/857/10105/5709/5717/1337/730/10213/1958/3709/514/3553/7979/11047/1349/3915/5530/4715/112714/4685/90550/7381/516/5710/5692/4731/125965/1346/509/5702/10476/10963/5621/1351/1537/2903/203068/5718/7278/4513/4519/4536/4512/4537/4538/4535/4508/100506742/4539/4722/5534/4509/347688/2904",65
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","19/1238","55/9522",0.345454545454545,2.65704215009546,4.76420314740027,3.47740367854558e-05,0.00298187365435283,0.00256229744734937,"672/5888/29089/5889/2178/83990/675/55215/2177/146956/201254/378708/116028/2187/2188/2175/57697/641/2189",19
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","72/1238","362/9522",0.198895027624309,1.52978873428003,3.97274625769394,0.00011468072218103,0.00531366059156813,0.00456598117427981,"3674/672/3479/3082/3371/3918/1975/4804/2260/26281/2932/22798/55012/1943/5106/51378/2321/898/3696/1440/6198/4790/374/7450/7060/10000/6446/7010/2322/3164/2069/2791/3791/3691/3679/3915/7097/2247/1280/10161/2064/9180/4915/9223/8817/5521/3815/2264/3716/4846/7534/2277/2786/7148/80310/3913/5617/3265/9134/6199/253314/2788/1435/4908/9863/1978/5649/3908/3914/1288/131873/3690",72
NA,NA,"hsa04518","Integrin signaling","37/1238","154/9522",0.24025974025974,1.8479428487506,4.10095554073743,0.000123756132222447,0.00531366059156813,0.00456598117427981,"3674/3479/3082/3371/3918/55679/2932/3383/22798/2321/3696/3384/7450/7060/10000/3791/9459/3691/3679/3915/1280/2064/158326/2277/1499/7148/5881/80310/2266/3913/5649/3908/3914/6714/1288/131873/3690",37
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","57/1238","271/9522",0.210332103321033,1.61775629064853,3.98831122951843,0.000127130230306954,0.00531366059156813,0.00456598117427981,"4710/113457/7419/5705/2778/5684/5693/5687/5688/10382/10105/5709/5717/1337/10213/1843/3709/514/7979/11047/1349/6622/4715/221074/112714/90550/7381/65018/516/5710/5692/4731/125965/1346/509/5702/10476/1351/1537/7054/1812/5071/203068/5718/7278/4513/4519/4536/4512/4537/4538/4535/4508/4539/4722/4509/347688",57
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","76/1238","391/9522",0.194373401534527,1.49501092844246,3.86389711791063,0.000161231597368454,0.00531366059156813,0.00456598117427981,"27035/4710/5743/113457/7419/2932/5705/4842/5684/5693/5687/5688/10382/10105/5709/5717/4790/1337/10213/10000/3709/514/3553/7979/11047/1349/8471/5530/6622/4715/221074/112714/89780/7476/90550/7381/7484/516/5710/5692/4731/125965/1346/509/5702/10476/1499/7480/3265/4023/1351/8851/8325/1537/2903/1435/8326/203068/4311/5718/7278/4513/4519/4536/4512/4537/4538/4535/4508/100506742/4539/4722/5534/4509/347688/2904",76
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","44/1238","196/9522",0.224489795918367,1.72664930269361,3.97362382617093,0.000161570468484529,0.00531366059156813,0.00456598117427981,"3674/7419/83933/1511/10105/4790/7450/10000/8970/7097/3015/2358/2357/2266/6403/653604/8338/317772/8340/3014/3146/8969/6714/8356/121504/126961/8337/55766/3690/554313/8370/723790/8342/8339/8355/8348/85235/8345/8350/8294/8343/8359/8336/8358",44
"Human Diseases","Substance dependence","hsa05034","Alcoholism","43/1238","191/9522",0.225130890052356,1.731580238351,3.94817245621055,0.000178545092260131,0.00531366059156813,0.00456598117427981,"2778/83933/4852/8970/2354/2791/1644/4915/3015/2786/5499/3265/2788/7054/2903/653604/8338/317772/1812/8340/3014/8969/8356/121504/126961/8337/55766/554313/8370/723790/2904/8342/8339/8355/8348/85235/8345/8350/8294/8343/8359/8336/8358",43
